0971880107;Wild Animus;Rich Shapero;2004;Too Far;http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
0316666343;The Lovely Bones: A Novel;Alice Sebold;2002;Little, Brown;http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
0385504209;The Da Vinci Code;Dan Brown;2003;Doubleday;http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
0060928336;Divine Secrets of the Ya-Ya Sisterhood: A Novel;Rebecca Wells;1997;Perennial;http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
0312195516;The Red Tent (Bestselling Backlist);Anita Diamant;1998;Picador USA;http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
044023722X;A Painted House;John Grisham;2001;Dell Publishing Company;http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
0142001740;The Secret Life of Bees;Sue Monk Kidd;2003;Penguin Books;http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
067976402X;Snow Falling on Cedars;David Guterson;1995;Vintage Books USA;http://images.amazon.com/images/P/067976402X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/067976402X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
0671027360;Angels &amp; Demons;Dan Brown;2001;Pocket Star;http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg
0446672211;Where the Heart Is (Oprah's Book Club (Paperback));Billie Letts;1998;Warner Books;http://images.amazon.com/images/P/0446672211.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
059035342X;Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback));J. K. Rowling;1999;Arthur A. Levine Books;http://images.amazon.com/images/P/059035342X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg
