11676;n/a, n/a, n/a;NULL
198711;little canada, minnesota, usa;62
153662;ft. stewart, georgia, usa;44
98391;morrow, georgia, usa;52
35859;duluth, minnesota, usa;NULL
212898;la ronge, saskatchewan, canada;NULL
278418;omaha, nebraska, usa;NULL
76352;olympia, washington, usa;58
110973;wiley ford, west virginia, usa;43
235105;st louis, missouri, usa;46
230522;colorado springs, colorado, usa;52
16795;mechanicsville, maryland, usa;47
234623;scarborough, maine, usa;NULL
36836;raleigh, north carolina, usa;56
52584;livermore, california, usa;45
245963;saint louis, missouri, usa;NULL
204864;simi valley, california, usa;47
55492;antioch, illinois, usa;43
185233;winnemucca, nevada, usa;31
171118;toronto, ontario, canada;47
102967;olympia, washington, usa;54
232131;oakland, california, usa;NULL
227447;kelseyville, california, usa;38
98741;fairbanks, alaska, usa;30
129358;highland, california, usa;36
60244;alvin, texas, usa;47
190925;hobe sound, florida, usa;51
135149;ft. pierce, florida, usa;NULL
231210;roanoke, virginia, usa;44
189835;honolulu, hawaii, usa;NULL
189334;ottawa, ontario, canada;49
69697;west sacramento, california, usa;24
78783;chantilly, virginia, usa;49
177458;ottawa, ontario, canada;29
172742;astoria, oregon, usa;44
73394;san diego, california, usa;33
242824;belton, texas, usa;21
269566;seattle, washington, usa;9
213350;rowland heights, california, usa;65
23768;st. louis, missouri, usa;45
238781;yucca valley, california, usa;51
175003;round rock, texas, usa;33
226545;mesa, arizona, usa;38
36606;san marcos, california, usa;39
182085;ginsheim, hessen, germany;NULL
11601;brooklyn, new york, usa;NULL
148744;campbellsport, wisconsin, usa;67
123981;phoenix, arizona, usa;46
26544;woodbridge, virginia, usa;37
43246;toronto, ontario, canada;36
200674;pittsburg, missouri, usa;58
23902;london, england, united kingdom;NULL
274308;delray beach, florida, usa;33
257204;akron, ohio, usa;32
95359;charleston, west virginia, usa;33
166123;cortez, colorado, usa;32
127233;marietta, georgia, usa;29
127429;kansas city, missouri, usa;23
162639;kelso, washington, usa;NULL
275970;pittsburgh, pennsylvania, usa;46
87141;huntington beach, california, usa;NULL
172030;rainsville, alabama, usa;30
12538;byron, minnesota, usa;18
184299;omaha, nebraska, usa;31
238120;louisville, kentucky, usa;25
130474;nashville, tennessee, usa;33
76626;london, england, united kingdom;38
236283;orlando, florida, usa;41
115120;sherman oaks, california, usa;29
266226;new york, new york, usa;NULL
93047;nashua, new hampshire, usa;52
142524;detroit, michigan, usa;36
87555;lexington, kentucky, usa;31
254465;maryville, tennessee, usa;22
245827;albuquerque, ,;NULL
166596;greenwood, british columbia, canada;57
196077;disputanta, virginia, usa;28
51883;jasper, missouri, usa;31
35050;west columbia, south carolina, usa;33
265115;vista, california, usa;NULL
56959;monroe twp., new jersey, usa;52
110029;norwich, england, united kingdom;27
228998;lincoln, nebraska, usa;41
31315;henryville, indiana, usa;34
246655;mooresville, north carolina, usa;NULL
271284;alexandria, virginia, usa;50
225087;toronto, ontario, canada;51
131402;governors bay, canterbury, new zealand;NULL
56447;sturgis, michigan, usa;22
88733;houston, texas, usa;NULL
175886;hindmarsh island, south australia, australia;52
174304;st. louis, missouri, usa;26
40943;oklahoma city, oklahoma, usa;40
56399;n/a, surrey, united kingdom;63
251613;sonoma, california, usa;34
234828;fairbanks, alaska, usa;NULL
16634;little rock, arkansas, usa;42
158295;cleveland, ohio, usa;NULL
52614;toccoa, ga., usa;33
31556;chula vista, california, usa;51
156150;howell, new jersey, usa;36
248718;hyde park, new york, usa;43
225810;el cajon, california, usa;56
35857;mentor, ohio, usa;36
63714;milton keynes, england, united kingdom;29
107784;tarentum, pennsylvania, usa;NULL
167800;olive branch, mississippi, usa;57
114414;edinburg, texas, usa;27
147847;greenville, illinois, usa;NULL
274061;gahanna/columbus, ohio, usa;26
76499;new york, new york, usa;NULL
113519;pleasanton, california, usa;NULL
182987;armentia, álava, spain;NULL
7346;sunnyvale, california, usa;49
100906;seattle, washington, usa;34
224349;columbia, maryland, usa;23
224764;rockaway, new jersey, usa;116
129074;marietta, georgia, usa;51
252695;lincoln, nebraska, usa;NULL
197659;indiana, pennsylvania, usa;49
211426;pueblo, colorado, usa;24
265313;morrisville, north carolina, usa;33
187145;grapeview, washington, usa;65
56856;escondido, california, usa;23
127200;urbana, illinois, usa;NULL
235842;griswold, iowa, usa;41
131046;ellington, connecticut, usa;26
170229;chicago, illinois, usa;56
157273;dripping springs, texas, usa;37
125692;elmira, new york, usa;28
78834;honolulu, hawaii, usa;28
200226;burlington, ontario, canada;39
124942;olympia, washington, usa;NULL
3363;knoxville, tennessee, usa;29
6251;wahiawa, hawaii, usa;32
240144;muskego, wisconsin, usa;34
195694;tucson, arizona, usa;29
116599;tehran, tehran, iran;29
101209;ft huachuca, arizona, usa;44
228764;oakdale, california, usa;39
146113;cary, north carolina, usa;NULL
261829;fpo, ap, usa;32
217375;st. petersburg, florida, usa;35
170518;gaithersburg, maryland, usa;61
264321;toronto, ontario, canada;33
193560;coalville, england, united kingdom;37
203968;cumberland, maryland, usa;NULL
159033;taneytown, maryland, usa;46
69355;syracuse, new york, usa;NULL
143253;dyersburg, tennessee, usa;27
173632;graz, steiermark, austria;36
251422;cumberland, maryland, usa;23
262399;glen allen, virginia, usa;48
56271;leeds, england, united kingdom;22
6575;seattle, washington, usa;NULL
87746;wallingford, connecticut, usa;52
225763;san francisco, california, usa;NULL
242006;santo domingo, distrito nacional, dominican republic;30
104636;youngstown, ohio, usa;NULL
15408;cary, north carolina, usa;34
21014;fresno, california, usa;NULL
143175;blythewood, south carolina, usa;28
32195;fall river, massachusetts, usa;NULL
174791;long beach, california, usa;38
225986;watford, england, united kingdom;36
185384;st. charles, missouri, usa;NULL
128835;bellingham, washington, usa;60
26535;hickory, mississippi, usa;41
